id,category,type,name,crit,add,esc,image
1,Super,TEQ,"Light Brought Back to the Present World Super Saiyan Goku",15,11,0,Light Brought Back to the Present World Super Saiyan Goku.webp
2,Super,STR,"Heroic Story Born from a Bluff Hercule",15,11,0,Heroic Story Born from a Bluff Hercule.webp
3,Super,STR,"Burning Azure Power of Pride Super Saiyan God SS Evolved Vegeta",20,15,0,Burning Azure Power of Pride Super Saiyan God SS Evolved Vegeta.webp
4,Super,AGL,"Battle to Free the Mind Super Saiyan 3 Goku (GT)",20,0,6,Battle to Free the Mind Super Saiyan 3 Goku GT.webp
5,Extreme,AGL,Battle for the Universe's Strongest Frieza (Full Power),6,20,0,Battle for the Universe's Strongest Frieza Full Power.webp
6,Super,AGL,"A Gourmet God of Destruction Beerus",6,20,0,"A Gourmet God of Destruction Beerus.webp"
7,Super,AGL,"A Soul Wandering in the Otherworld Super Saiyan Vegeta (Angel)",6,20,0,"A Soul Wandering in the Otherworld Super Saiyan Vegeta Angel.webp"
8,Extreme,INT,"Dangerous Teammate Frieza (Final Form) (Angel)",6,15,0,"Dangerous Teammate Frieza Final Form Angel.webp"
9,Super,TEQ,Pulse of the Crimson Divine Warriors Super Saiyan God Goku & Super Saiyan God Vegeta,20,15,0,Pulse of the Crimson Divine Warriors Super Saiyan God Goku & Super Saiyan God Vegeta.webp
10,Super,STR,Awakened Beast Gohan (Beast),11,15,0,Awakened Beast Gohan Beast.webp
11,Extreme,TEQ,Contradictions of Gods and Mortals Fusion Zamasu,15,15,0,Contradictions of Gods and Mortals Fusion Zamasu.webp
12,Super,TEQ,Reunion in the Otherworld Goku (Angel) & Vegeta (Angel),11,15,0,Reunion in the Otherworld Goku Angel & Vegeta Angel.webp
13,Extreme,INT,Devil Awakened from the Sub-Zero Seal Legendary Super Saiyan Broly,6,15,0,Devil Awakened from the Sub-Zero Seal Legendary Super Saiyan Broly.webp
14,Super,AGL,Silver-Gleaming New Form Goku (Ultra Instinct),0,20,6,Silver-Gleaming New Form Goku Ultra Instinct.webp
15,Super,STR,Death Match Climax Goku (GT) & Super Saiyan 4 Vegeta,20,6,0,Death Match Climax Goku GT & Super Saiyan 4 Vegeta.webp
16,Super,PHY,"Awakening of Fighting Spirit Super Saiyan 2 Gohan (Youth)",15,11,0,Awakening of Fighting Spirit Super Saiyan 2 Gohan Youth.webp
17,Extreme,TEQ,"Saiyan of a Tragic Fate Broly",11,15,0,Saiyan of a Tragic Fate Broly.webp
18,Super,PHY,"Spectacular Fusion Fighter Super Saiyan Gogeta",6,20,0,Spectacular Fusion Fighter Super Saiyan Gogeta.webp
19,Super,STR,"A Battle Without Prospects for Tomorrow Super Saiyan Gohan (Future)",11,15,0,A Battle Without Prospects for Tomorrow Super Saiyan Gohan Future.webp
20,Super,AGL,"World Beyond the Clouds Goku",6,20,0,World Beyond the Clouds Goku.webp
21,Super,TEQ,"True Anger and Awakening Super Saiyan Goku",11,15,0,True Anger and Awakening Super Saiyan Goku.webp
